"[Excuse, reason, explanation]",HU,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
"[Excuse, reason, explanation]",HU,HU
"[Excuse, reason, explanation]",UK,HU
"[Excuse, reason, explanation]",HU,E
"[Excuse, reason, explanation]",HU,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
[Statement of alternative],UK,HU
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
"[Excuse, reason, explanation]",UK,E
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,HU
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],HU,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
[Statement of alternative],UK,E
